,Airline,Overall Rating,Reviews,Boarding,Comfort,Crew,Entertainment,Food
354,Buddha Air,8.0 Excellent,1,8.0,8.0,10.0,4.0,6.0
355,Tibet Airlines,6.3 Good,2,8.0,6.0,8.0,5.0,4.0
356,TUS Airways,7.3 Good,3,7.3,10.0,10.0,8.6,8.6
357,Tunisair Express,Based on 7 reviews,54,5.4,6.2,4.3,4.5,
358,Auric Air,,,,,,,
359,Air Zimbabwe,Based on 0 reviews,,,,,,
360,Air North,9.3 Excellent,9,8.8,8.4,9.1,5.7,6.8
361,Air Montenegro,6.0 Good,850,6.1,6.6,7.0,4.9,5.5
362,Bahamasair,Based on 71 reviews,56,5.1,6.4,4.0,4.6,
363,Urumqi Air,,,,,,,
364,Air Austral,6.2 Good,11,6.1,6.7,8.0,5.6,6.0
365,EF,6.6 Good,3,4.6,6.6,7.3,5.3,5.3
366,FLYONE,Based on 4 reviews,35,3.5,3.5,3.5,3.5,
367,ASL Airlines France,6.4 Good,6,6.6,5.3,7.3,6.4,4.6
368,Cabo Verde Airlines,Based on 1 reviews,60,2.0,4.0,2.0,2.0,
369,Canadian North,Based on 2 reviews,80,2.0,7.0,7.0,6.0,
370,TAG Airlines,Based on 3 reviews,66,4.6,6.0,4.0,4.0,
371,Wizz Air UK,Based on 59 reviews,52,5.3,6.3,3.5,4.5,
372,Wideroe,7.1 Good,16,8.1,7.0,8.3,5.6,6.0
373,ISRAIR,Based on 14 reviews,48,4.8,5.0,4.0,4.0,
374,Alsie Express,Based on 0 reviews,,,,,,
375,Solaseed Air,6.0 Good,2,6.0,6.0,6.0,6.0,6.0
376,Edelweiss Air,6.9 Good,43,7.0,7.3,8.0,6.8,7.0
377,Winair,7.3 Good,2,7.0,7.0,8.0,6.0,
378,TUI fly,6.0 Good,15,6.2,6.1,7.0,4.6,5.4
379,Western Air,,,,,,,
380,Star Flyer,6.5 Good,3,5.3,7.3,7.3,7.3,5.3
381,Ravn Alaska,7.6 Good,9,7.9,6.6,8.6,5.9,6.7
382,Air Corsica,7.4 Good,16,7.6,7.0,8.1,6.5,7.1
383,Air Panama,10.0 Excellent,1,10.0,8.0,10.0,8.0,2.0
384,Volaris,Based on 928 reviews,59,5.5,6.7,4.2,4.6,
385,NokScoot,Based on 1 reviews,20,2.0,2.0,2.0,2.0,
386,Suparna Airlines,,,,,,,
387,flynas,Based on 46 reviews,52,4.6,6.3,3.5,4.4,
388,TransNusa,,,,,,,
389,Lucky Air,7.0 Good,1,10.0,8.0,10.0,2.0,4.0
390,Regional Air,,,,,,,
391,Pacific Coastal Airlines,6.8 Good,8,7.7,7.4,7.7,6.0,6.0
392,Shenzhen Airlines,Based on 12 reviews,50,5.1,6.0,3.6,4.3,
393,AIR CHANGAN,Based on 0 reviews,,,,,,
394,Cape Air,9.1 Excellent,40,8.9,8.6,9.4,9.1,9.0
395,Central Mountain Air,8.0 Excellent,1,8.0,8.0,8.0,8.0,8.0
396,Tropic Air,7.0 Good,4,7.5,7.5,7.5,5.5,5.5
397,SATENA,8.5 Excellent,6,7.6,8.6,10.0,5.9,5.9
398,Southern / Mokulele,9.3 Excellent,8,9.2,9.0,9.7,9.6,9.5
